Class,Custom Precision,ResNet Precision,Custom Recall,ResNet Recall,Custom F1-Score,ResNet F1-Score
Airplane,0.8439181916038752,0.935823754789272,0.784,0.977,0.8128564022809746,0.9559686888454012
Automobile,0.943217665615142,0.9651741293532339,0.897,0.97,0.9195284469502819,0.9675810473815462
Bird,0.6748518204911093,0.9425403225806451,0.797,0.935,0.7308574048601559,0.9387550200803213
Cat,0.7482993197278912,0.8902316213494461,0.55,0.884,0.6340057636887608,0.8871048670346212
Deer,0.7950495049504951,0.9512437810945273,0.803,0.956,0.7990049751243781,0.9536159600997506
Dog,0.6955767562879445,0.9383634431455898,0.802,0.883,0.7450069670227589,0.9098402885110768
Frog,0.8626653102746694,0.9624505928853755,0.848,0.974,0.8552697932425618,0.9681908548707754
Horse,0.8868534482758621,0.9547244094488189,0.823,0.97,0.8537344398340249,0.9623015873015873
Ship,0.8076271186440678,0.9726720647773279,0.953,0.961,0.8743119266055046,0.9668008048289738
Truck,0.92,0.9591633466135459,0.874,0.963,0.8964102564102564,0.9610778443113772
